,Dataset,Classifier,Base_F1_mean,Base_AUC_mean,Base_F1_std,Base_AUC_std,KM_F1_mean,KM_AUC_mean,KM_F1_std,KM_AUC_std,KM-p-F1,KM-p-AUC,CAC_F1_mean,CAC_AUC_mean,CAC_F1_std,CAC_AUC_std,CAC-Base-p-F1,CAC-Base-p-AUC,CAC-KM-p-F1,CAC-KM-p-AUC
0,adult,LR,0.6175783199234955,0.8536622501998797,0.006612879525023516,0.001839232057441518,0.6166222258661478,0.8553431205105101,0.007468044017127053,0.004046498634395809,0.852755854531324,0.4711410479469602,0.6314482386238052,0.8645904637734146,0.009828107894836275,0.006029922587459226,0.0472860608426077,0.008480407986996393,0.0430269317398043,0.03434332714489754
1,cic,LR,0.6175783199234955,0.8536622501998797,0.006612879525023516,0.001839232057441518,0.6166222258661478,0.8553431205105101,0.007468044017127053,0.004046498634395809,0.852755854531324,0.4711410479469602,0.6290450494807378,0.8620534487721203,0.006200497239790019,0.003268113489474447,0.03526322768507032,0.0020689915728858343,0.033664329915697275,0.03260650971181675
2,creditcard,LR,0.4770961333925639,0.7235659918444757,0.01055031385510642,0.005719462095983888,0.4963584160217239,0.7469972046275422,0.010058559039873256,0.009202467301295831,0.029581527841038856,0.002528659784809605,0.49656175736282454,0.7465224594499621,0.009044825267286026,0.009199715971994201,0.023145106971066674,0.0028437662521904467,0.9767523413970796,0.9436224812768366
3,diabetes,LR,0.5039734472596147,0.5677979835788984,0.0023655959581643225,0.0014294981812369239,0.5000348356609566,0.5665735613005085,0.008231307214151898,0.003690725584865046,0.3845954921445345,0.5533031768976153,0.5056973401634366,0.5508970683455237,0.001832552775400964,0.0036037008693288394,0.2825080668159814,2.338696990491282e-05,0.2161363482217691,0.00029653186642391606
4,magic,LR,0.8326628490809588,0.8416277021866441,0.004351588363553632,0.005912908058782145,0.8584048687103621,0.8897792756636023,0.00407930480881956,0.004620152839605184,2.5171825606688074e-05,1.282924924097816e-06,0.8581059806147762,0.8895021009325255,0.003941913171785695,0.004439953078283162,2.443742822946829e-05,1.1979260528171872e-06,0.918670229239551,0.9331850586164857
5,sepsis,LR,0.3699850299275481,0.8439259057226781,0.006125359752364469,0.006945664503840194,0.3879715357897061,0.8578944633839841,0.00827387312308191,0.010330645347492864,0.008145840785541108,0.05506167263951181,0.39116358396886663,0.8547586445313919,0.007562905149543249,0.012115457500402878,0.0024379858601611785,0.15940722784872907,0.5846347235551741,0.7039455446486562
6,titanic,LR,0.3699850299275481,0.8439259057226781,0.006125359752364469,0.006945664503840194,0.36583980893910956,0.8419975451592341,0.007122126270292293,0.006496588153061196,0.4032245763830058,0.6957196899650575,0.1828459272938442,0.5967865236266544,0.00907004330028307,0.03374639391353591,5.842818381568944e-10,5.441204821124924e-07,1.0577819398590178e-09,5.668033214145272e-07
