Dataset,Classifier,alpha,Base_F1_mean,Base_AUC_mean,KM_F1_mean,KM_AUC_mean,CAC_F1_mean,CAC_AUC_mean
cic,Perceptron,0.01,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.44397106475153264,0.7489237572862695
cic,Perceptron,0.02,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4057943193410526,0.7227468223769431
cic,Perceptron,0.05,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.42412375296307314,0.752445454177461
cic,Perceptron,0.08,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4542523160654744,0.6645998623704663
cic,Perceptron,0.1,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.45026313528194706,0.6920144511010363
cic,Perceptron,0.15,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.45502526007839206,0.6369778173575129
cic,Perceptron,0.2,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4546529551034914,0.6132367227979275
cic,Perceptron,0.3,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.454302513242014,0.6187014248704663
cic,Perceptron,0.5,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4553365719984671,0.6168960492227978
cic,Perceptron,0.8,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4548919383884756,0.6224189402525907
cic,Perceptron,1.0,0.3940478075811021,0.7241654513084417,0.4060435108583273,0.7147400218588082,0.4548919383884756,0.6224189402525907
