Dataset,Classifier,Base_F1_mean,Base_AUC_mean,Base_F1_std,Base_AUC_std,KM_F1_mean,KM_AUC_mean,KM_F1_std,KM_AUC_std,KM-p-F1,KM-p-AUC,CAC_F1_mean,CAC_AUC_mean,CAC_F1_std,CAC_AUC_std,CAC-Base-p-F1,CAC-Base-p-AUC,CAC-KM-p-F1,CAC-KM-p-AUC
titanic,Ridge,0.803104154,0.901674936,0.045027195,0.022501506,0.824495883,0.717934629,0.032843254,0.163579541,0.464744051,0.056690243,0.791574947,0.721844283,0.040970524,0.11285345,0.714713697,0.014111843,0.245277351,0.969578622
adult,ADB,0.675503484,0.91397301,0.004843141,0.004685299,0.677997106,0.912938756,0.001353124,0.004188458,0.3503541,0.75049887,0.668437797,0.903142617,0.007179082,0.0062069,0.141365849,0.023728589,0.030792625,0.030816509
cic,ADB,0.454890517,0.841718008,0.015031787,0.008865721,0.452732704,0.824898454,0.023513244,0.017415237,0.880934984,0.123488513,0.440354612,0.752723641,0.023684098,0.045680845,0.33033762,0.005053811,0.479425696,0.018350812
creditcard,ADB,0.441516031,0.767469699,0.020807333,0.010150705,0.452300044,0.758984108,0.022578339,0.012130681,0.502320286,0.314591974,0.452492671,0.755361484,0.027958495,0.009614238,0.546319082,0.121496293,0.991709113,0.652213896
diabetes,ADB,0.236261288,0.593632338,0.004802233,0.002208191,0.240322335,0.59516353,0.009180747,0.001311318,0.455667878,0.267261569,0.346046314,0.575216428,0.130593088,0.023832888,0.131430086,0.162407157,0.144941514,0.133189208
magic,ADB,0.878302934,0.895510238,0.003000028,0.004899776,0.881693289,0.899645093,0.004952499,0.006296183,0.275275695,0.330256739,0.881699001,0.898066766,0.005418763,0.006064738,0.304724614,0.53035958,0.99879636,0.727382316
sepsis,ADB,0.466242071,0.832198319,0.182150336,0.086228528,0.467872866,0.845639887,0.177138186,0.057448605,0.9900723,0.801834845,0.462534588,0.843397845,0.173594472,0.050064393,0.977212727,0.827886905,0.966718717,0.9545193
titanic,ADB,0.77938965,0.867163528,0.080084016,0.041890787,0.815697616,0.890519518,0.029944543,0.023298918,0.420392871,0.358347769,0.802205084,0.860888237,0.043428908,0.028272373,0.629944762,0.810130503,0.622784164,0.144405338
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.522543353,,,,,,,,,
,,,,,,,,,,0.50182704,,,,,,,,,
,,,,,,,,,,0.49940547,,,,,,,,,
,,,,,,,,,,0.522058824,,,,,,,,,
,,,,,,,,,,0.450549451,,,,,,,,,
,,,,,,,,,,0.499276827,,,,,,,,,
,,,,,,,,,,0.02933099,,,,,,,,,
