Dataset,Classifier,alpha,Base_F1_mean,Base_AUC_mean,KM_F1_mean,KM_AUC_mean,CAC_F1_mean,CAC_AUC_mean
titanic,LR,0.01,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6323341725085934,0.7847906376138918
titanic,LR,0.02,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6323341725085934,0.7847906376138918
titanic,LR,0.05,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6308522889775885,0.7844432805675706
titanic,LR,0.08,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6330698793938175,0.7872236419513399
titanic,LR,0.1,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6323484307248904,0.7871568193653058
titanic,LR,0.15,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.6470827756707628,0.7950969680004094
titanic,LR,0.2,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.7756741918939278,0.8661329889863134
titanic,LR,0.3,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.7883372579512606,0.8690063601857787
titanic,LR,0.5,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.7872536666199913,0.8749117309758807
titanic,LR,0.8,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.7883372579512606,0.8765844026452113
titanic,LR,1.0,0.8042975978944632,0.9037811805637517,0.6323341725085934,0.7847906376138918,0.7883372579512606,0.8598119335506572
titanic,SVM,0.01,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.7399168630708892,0.8082263161316202,0.7399168630708892
titanic,SVM,0.02,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.8082263161316202,0.7605800922874095
titanic,SVM,0.05,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.8065444518965645,0.6983252213121909
titanic,SVM,0.08,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.8077605934112135,0.7353961044238357
titanic,SVM,0.1,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.8077605934112135,0.7353961044238357
titanic,SVM,0.15,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.8046218487394958,0.6998166893923659
titanic,SVM,0.2,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.7849644455211269,0.8196250711118737
titanic,SVM,0.3,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.7816218832256323,0.8197587162839419
titanic,SVM,0.5,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.7825555900416921,0.8131878286572574
titanic,SVM,0.8,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6901340364755,0.7825555900416921,0.8131878286572574
titanic,SVM,1.0,0.8027011020020012,0.9027234403945134,0.8082263161316202,0.6326666124861916,0.7825555900416921,0.7841419769251377
titanic,LDA,0.01,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.8082263161316202,0.8966727168197265
titanic,LDA,0.02,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.8082263161316202,0.8966727168197265
titanic,LDA,0.05,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.8082263161316202,0.895500612540372
titanic,LDA,0.08,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.809285151412811,0.8973933171393913
titanic,LDA,0.1,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.809285151412811,0.8974824139207701
titanic,LDA,0.15,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.8069281689301432,0.894912754384856
titanic,LDA,0.2,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.794355851936357,0.8782928936286771
titanic,LDA,0.3,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.792065348411042,0.8680022153794289
titanic,LDA,0.5,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.791925927009857,0.8717698654217199
titanic,LDA,0.8,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.791925927009857,0.8754426996324758
titanic,LDA,1.0,0.801001332598138,0.903057247540706,0.8082263161316202,0.8966727168197265,0.791925927009857,0.8656420536808108
titanic,Perceptron,0.01,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7316456326578719,0.7476113935519214
titanic,Perceptron,0.02,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7316456326578719,0.7388452936732255
titanic,Perceptron,0.05,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.6885772406987414,0.6014484247026847
titanic,Perceptron,0.08,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7044376902324812,0.6351324261113771
titanic,Perceptron,0.1,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7031830936501752,0.6310785225586428
titanic,Perceptron,0.15,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.8071503177082864,0.7055964724930242,0.611986226119203
titanic,Perceptron,0.2,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7810083536604434,0.8372839929806183
titanic,Perceptron,0.3,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7872148230608783,0.8067906195537334
